ID,data,bv
584,0.495098791,-0.157543185
585,-0.727878965,0.652235685
587,1.802692905,0.666272789
588,0.232504498,0.765575543
589,1.457870612,1.513522945
590,0.208239693,1.053108966
591,0.632379961,0.577173421
592,0.411626276,0.412707555
593,0.43324411,-0.119292785
594,2.986900051,2.524500211
595,1.731924409,1.097620813
596,1.823382571,2.083637755
597,0.202732277,0.336711525
598,0.246567601,0.207201306
600,1.40824469,1.689122477
601,0.083883236,0.949415526
602,-0.15710678,-0.437353862
603,2.200001265,1.583895401
604,1.247369493,2.018043693
605,-0.382196215,0.005192925
607,0.442060393,1.080758209
608,-1.348852585,-1.112021329
609,0.415635766,0.803947539
610,0.924452955,1.038610511
611,-0.83343092,-0.479669025
612,0.040960689,-0.530633741
613,0.588695287,0.997314189
614,1.296903125,1.10285818
615,-0.417521249,-0.242047268
616,0.870498991,0.117919111
617,-0.129741251,-0.317337715
618,-0.161389834,0.164834124
619,1.110527349,0.774807446
620,0.207414148,-0.133293577
621,1.439341181,1.83858716
622,2.252532622,1.905574974
623,1.351307222,0.974786293
624,-0.350093287,-0.276099474
625,1.514579117,1.244649166
626,1.088917036,1.003083569
627,0.342988233,-0.335956839
628,0.082884812,0.745872472
630,-0.256834876,-0.084759311
631,1.126480154,0.724524812
632,-1.097177157,-0.260352207
633,3.784560558,3.088544314
634,1.545816333,1.391073329
635,0.527818192,0.864125616
636,2.57427822,1.732984366
637,1.049096441,1.652902731
638,1.093107621,1.488320062
639,0.934999045,1.200201127
640,2.978647589,2.3877065
641,3.124233089,3.009811958
642,0.540974329,0.916667779
643,0.435244656,0.577850931
644,0.302046814,0.53309595
645,1.250128583,1.731138037
649,0.72621409,0.323820034
886,0.446226329,-0.357738115
887,1.225481947,1.401522463
888,1.474204914,1.738593882
889,1.440201754,1.736157107
890,1.189283176,0.770731733
891,1.893468048,1.695789065
892,1.433271761,2.002643813
893,1.538492749,1.758297847
894,1.616321423,0.947481146
895,0.259453823,0.68725278
896,1.720844508,1.420579895
897,2.215897912,1.428861646
898,0.973096186,0.795238304
899,1.254069016,1.808136793
958,1.907710632,1.334234233
1009,1.048407965,1.513626812
1113,0.89346823,0.58219983
1114,0.992492381,1.622241776
1116,1.087773374,0.873508763
1117,1.279118161,1.823464031
1118,1.232300761,1.244515825
1136,0.634667913,1.296125812
1267,0.541124478,0.599597619
1280,0.838940743,0.986013103
1305,1.875516337,2.00940621
1312,2.679134298,2.061653265
1313,2.464257225,1.749552476
1318,1.221154387,0.301693843
1319,0.261423331,0.605898118
1321,1.052032188,1.161032367
1322,1.25164302,1.232194008
1328,1.154867664,1.296871025
1341,2.502471943,1.85609704
1342,3.45865001,2.297013943
1390,1.160681739,0.739105418
1391,0.11407615,-0.233761714
1393,2.16695404,1.240689779
1394,0.386803063,0.233773185
1401,-0.460191629,0.287064073
1404,2.056194389,1.454265656
1406,2.047505438,1.692778233
1408,3.036731348,3.02614143
1409,3.061920906,2.504879935
1412,1.455835777,0.524182946
1413,2.085735946,1.931533664
1415,0.432851733,1.045791831
1416,2.736945181,2.026270144
1417,0.407601172,0.148155228
1419,2.961200552,2.018286491
1425,2.529527848,1.535738456
1427,1.76573863,2.109847138
1429,1.894777311,1.865164996
1430,1.588716447,1.993533367
1431,1.485366411,1.737022732
1435,1.234837373,1.991873842
1438,0.372366424,0.49378372
1441,3.14368307,2.380949476
1443,1.91584898,1.483435791
1449,2.480503431,2.488971508
1452,1.303922562,1.141116594
1455,1.108994854,0.890105407
1457,1.371531589,1.821712852
1460,2.146778877,2.431801672
1462,0.545493355,0.995288085
1471,0.736788675,1.015395947
1472,3.157327099,2.399977011
1478,1.666846956,0.567690661
1479,1.353470647,1.569218071
1480,1.196951885,0.9618723
1481,2.426528545,2.305530296
1483,0.713890119,1.573299456
1489,1.177290437,1.453980774
1491,2.034900366,1.308389147
1492,3.376601631,3.266035891
1495,1.133300187,0.699432061
1496,0.131895878,0.174285928
1499,-1.038568869,-0.123530301
1500,2.941392198,1.573100835
1503,1.723865493,1.05449732
1504,1.759548189,1.756933285
1507,1.664048633,2.240468256
1508,0.766473914,0.148865293
1509,2.322244016,2.274072295
1510,0.308372203,1.000325025
1511,1.839159575,1.586770949
1512,-0.893191483,0.484777129
1514,2.073370662,1.525909262
1516,0.146436046,1.652707895
1517,0.581057749,0.504770449
1518,2.305159091,2.410335467
1519,-0.188676794,-1.077877526
1520,1.491619481,0.980872105
1521,1.472121101,2.193851669
1522,-0.442717663,0.074224997
1523,0.172561677,0.044099526
1525,0.20476075,0.375321463
1526,0.911637854,1.038016303
1527,1.121581,0.203349028
1528,1.847000282,2.083442004
1529,1.816013391,1.631121186
1530,1.210008262,1.300274871
1531,0.776507657,0.826871207
1536,1.755296643,2.499693807
1537,0.291339659,1.141974456
1538,4.091524539,2.785764621
1539,1.96564387,1.687492895
1540,1.082617542,0.83581825
1541,-0.377906492,0.565443079
1542,-0.321852191,-0.169778861
1543,1.193354826,1.362601622
1544,1.194510341,1.493679251
1545,1.78184088,1.163166966
1565,1.286964767,2.017865224
1588,1.793635734,1.838034019
1591,0.23017705,0.125915894
1592,-0.304233382,-0.384740123
1598,0.980033747,0.588362612
1601,1.768839715,1.837506218
1603,2.400691568,1.258229007
1619,1.201964023,1.200802031
1630,0.519554519,1.155803701
1656,1.604656979,1.180016083
1669,1.992822691,1.39536079
1680,0.752880183,1.027267663
1683,-1.507982073,-0.768823126
1684,-0.476933995,0.287209216
1686,-0.501448078,-1.212878966
1687,-1.063300136,-1.075912051
1691,-1.068874812,-1.262589585
1693,0.252606684,-0.11322929
1694,0.250886952,0.933201069
1699,-0.544573969,-0.302036233
1700,-0.477877402,-0.569712574
1701,0.653092971,0.227525851
1713,-0.405545776,-0.693012195
1739,1.016662818,1.257111598
1741,-0.677259659,-0.907531631
1742,0.011030573,-0.71049782
1744,0.866999477,0.837310362
1745,3.287472706,3.202273901
1746,-0.053981536,0.629560217
1747,1.775438976,2.576717675
1748,0.050842223,0.604462616
1749,2.17063095,1.750152204
1750,-0.889041278,-0.383135744
1751,0.710022049,0.620858174
1753,2.446467884,2.227696214
1754,1.27716933,1.583359015
1755,0.116084057,-0.130408927
1756,-0.139915483,-0.312804938
1757,0.725639397,0.643681861
1758,-0.47431621,-0.614964982
1760,0.953058366,0.641456851
1761,0.954651272,1.234208745
1762,1.221038372,1.174728141
1764,-0.482822022,0.359908795
1767,0.983291542,1.249168725
1768,0.933197151,0.217824292
1769,0.973770129,0.718370771
1771,-0.282014056,-0.163856984
1772,0.728906057,0.952401369
1773,1.396645086,0.784591066
1774,0.500621761,0.005840788
1777,-0.356077345,0.242174272
1781,-0.103183214,0.352126582
1782,0.992675327,1.619307335
1783,1.446586176,0.989814596
1784,1.331057474,1.463147162
1786,1.523389365,1.795790958
1787,1.82013352,1.257829761
1789,1.980578908,1.719313487
1790,1.456459293,1.157547128
1791,0.439606991,0.482456655
1795,1.686080318,1.853012068
1798,0.434794755,1.132480204
